,unix,tusd_mcap
595,1573257600,173697745.39737436
596,1573344000,173575666.60242388
597,1573430400,172926013.04458886
598,1573516800,172420306.12055403
599,1573603200,170798057.4343595
600,1573689600,167523036.60329217
601,1573776000,167427602.59935462
602,1573862400,168225934.06303424
603,1573948800,166920258.80894375
604,1574035200,167099109.4057811
605,1574121600,167419654.42195892
606,1574208000,167562112.6672257
607,1574294400,167232181.26766422
608,1574380800,166065253.57488546
609,1574467200,167271774.31241575
610,1574553600,168230078.75191256
611,1574640000,168218822.51345524
612,1574726400,167995185.2612997
613,1574812800,163096045.61930043
614,1574899200,163173571.07841912
615,1574985600,162898066.72218525
616,1575072000,162664921.78720745
617,1575158400,161724606.74295735
618,1575244800,161844932.78138214
619,1575331200,157323441.2380116
620,1575417600,157632753.4831316
621,1575504000,158572254.26243293
622,1575590400,161075041.8906673
623,1575676800,160121584.3672927
624,1575763200,160426833.13713604
625,1575849600,160747539.43012115
626,1575936000,160613552.69064847
627,1576022400,159757039.36041698
628,1576108800,159920311.0393634
629,1576195200,159657741.10877886
630,1576281600,159663661.75129557
631,1576368000,159880283.9276044
632,1576454400,154938074.90481383
633,1576540800,153404667.8093832
634,1576627200,155551724.39874682
635,1576713600,157002941.32746804
636,1576800000,156895781.64267364
637,1576886400,157537639.0813117
638,1576972800,157689554.02368522
639,1577059200,156973153.50965178
640,1577145600,156166373.03873986
641,1577232000,156462573.5463027
642,1577318400,156154066.86951244
643,1577404800,154170284.4139691
644,1577491200,154280973.94167632
645,1577577600,153794762.84671706
646,1577664000,153449849.5600287
647,1577750400,154493229.38448516
648,1577836800,154082937.39887038
649,1577923200,153297372.68971577
650,1578009600,153093392.92470843
651,1578096000,152920212.57280698
652,1578182400,153049438.20571852
653,1578268800,151923773.4777406
654,1578355200,152512802.5773244
655,1578441600,147372490.5776224
656,1578528000,147600129.3062421
657,1578614400,148826142.44763348
658,1578700800,148721445.21583477
659,1578787200,149546791.41345462
660,1578873600,146951507.61644447
661,1578960000,148746625.18303737
662,1579046400,147923326.37166846
663,1579132800,147769567.71846753
664,1579219200,145380071.15695277
665,1579305600,143902110.7770515
666,1579392000,143248334.66361985
667,1579478400,141967604.51531297
668,1579564800,139185109.33074367
669,1579651200,138995849.6855618
670,1579737600,138758580.89302963
671,1579824000,139386643.65409422
672,1579910400,139368863.5316796
673,1579996800,138978462.78582704
674,1580083200,140430820.36411223
675,1580169600,141176783.40878746
676,1580256000,140100905.7888701
677,1580342400,135166745.75659946
678,1580428800,135676761.068488
679,1580515200,136783356.4225923
680,1580601600,136070504.06608585
681,1580688000,138623688.8739168
682,1580774400,137336830.5707714
683,1580860800,138546310.1193864
684,1580947200,138902489.5896218
685,1581033600,138993691.72580868
686,1581120000,139246177.46575207
687,1581206400,140100889.63641462
688,1581292800,138597766.23695618
689,1581379200,140463341.01181987
690,1581465600,139691216.9824878
691,1581552000,143724575.78304112
692,1581638400,141722696.49726978
693,1581724800,141856750.93935785
694,1581811200,142988971.64610836
695,1581897600,142816119.18852332
696,1581984000,141845497.76855934
697,1582070400,142091601.66901338
698,1582156800,137813788.74548542
699,1582243200,141017569.92009413
