,unix,tether_dominance
1181,1529712000,97.27980954635613
1182,1529798400,97.28533285448377
1183,1529884800,97.2902322238687
1184,1529971200,97.12790633964255
1185,1530057600,97.14115512842172
1186,1530144000,97.1057794270651
1187,1530230400,97.01723496793757
1188,1530316800,97.01744467149643
1189,1530403200,97.02656928807714
1190,1530489600,96.83455818367976
1191,1530576000,96.8569199889312
1192,1530662400,96.88337151069592
1193,1530748800,96.8745696747442
1194,1530835200,96.9531486141285
1195,1530921600,96.86562575921455
1196,1531008000,96.88475661194829
1197,1531094400,97.03854801686742
1198,1531180800,97.04273119767355
1199,1531267200,97.07516904175036
1200,1531353600,97.29043965117275
1201,1531440000,97.17630352641427
1202,1531526400,97.32627764629926
1203,1531612800,97.49253200574826
1204,1531699200,97.4962061371376
